Timestamp,Generation,Iteration_in_Gen,Total_Iteration,Cost,Via_1_3_pitch,Via_1_3_antipad_diameter,Via_3_5_pitch,Via_3_5_antipad_diameter,Via_5_6_pitch,Via_5_6_antipad_diameter,Via_6_8_pitch,Via_6_8_antipad_diameter,Via_8_10_pitch,Via_8_10_antipad_diameter,BGA_antipad_diameter,Cu8_trace_gap,Cu8_trace_width,Cu1_trace_gap,Cu1_trace_width
2025-08-07 21:34:27,4,11,71,2.806219,0.220000,0.250000,0.200000,0.300000,0.450000,0.395920,0.210000,0.253537,0.204598,0.220000,0.450000,0.040000,0.035000,0.040000,0.035000
2025-08-07 21:36:54,4,12,72,4.470928,0.220000,0.250000,0.200000,0.220000,0.350000,0.391192,0.210000,0.253537,0.204598,0.220000,0.450000,0.040000,0.035000,0.040000,0.035000
2025-08-07 21:41:45,4,13,73,1.521272,0.220000,0.250000,0.280000,0.300000,0.350000,0.395920,0.210000,0.239572,0.204598,0.220000,0.450000,0.040000,0.035000,0.040000,0.035000
2025-08-07 21:43:33,4,14,74,1.521272,0.220000,0.250000,0.280000,0.300000,0.350000,0.395920,0.210000,0.239572,0.204598,0.220000,0.650000,0.040000,0.035000,0.040000,0.035000
2025-08-07 21:45:39,4,15,75,3.229035,0.220000,0.250000,0.280000,0.300000,0.350000,0.395920,0.210000,0.239572,0.204598,0.220000,0.650000,0.080000,0.035000,0.040000,0.035000
2025-08-07 21:47:48,4,16,76,1.611050,0.220000,0.250000,0.280000,0.300000,0.350000,0.395920,0.210000,0.253537,0.204598,0.220000,0.450000,0.040000,0.035000,0.040000,0.035000
2025-08-07 21:50:03,4,17,77,6.444536,0.220000,0.235620,0.271240,0.274096,0.405509,0.395088,0.215158,0.245047,0.202893,0.220000,0.503469,0.044662,0.020216,0.042328,0.034384
2025-08-07 21:52:18,4,18,78,6.921866,0.220000,0.223921,0.263521,0.231500,0.436356,0.395096,0.210483,0.248402,0.202708,0.220000,0.595236,0.040152,0.034208,0.076449,0.034948
2025-08-07 21:54:35,4,19,79,1.439255,0.220000,0.250000,0.280000,0.300000,0.350000,0.391192,0.210000,0.239572,0.200000,0.220000,0.650000,0.040000,0.035000,0.040000,0.035000
2025-08-07 21:56:31,4,20,80,1.675985,0.220000,0.250000,0.280000,0.300000,0.350000,0.391192,0.222484,0.239572,0.200000,0.220000,0.450000,0.040000,0.035000,0.040000,0.035000
2025-08-07 21:58:31,5,1,81,8.877256,0.220000,0.197729,0.269164,0.220822,0.397696,0.397631,0.211224,0.238834,0.202677,0.220000,0.467182,0.076883,0.032773,0.068966,0.027729
2025-08-07 22:00:35,5,2,82,8.992967,0.220000,0.198713,0.251050,0.241507,0.402925,0.391451,0.215057,0.248143,0.206397,0.220000,0.481030,0.065513,0.028605,0.060375,0.026137
2025-08-07 22:02:42,5,3,83,7.990884,0.220000,0.237843,0.207388,0.227252,0.383176,0.391665,0.212893,0.247672,0.202527,0.220000,0.554696,0.069924,0.029529,0.040369,0.023417
2025-08-07 22:04:45,5,4,84,9.021381,0.220000,0.198323,0.277591,0.242634,0.443850,0.388728,0.212027,0.245679,0.201564,0.220000,0.466486,0.075214,0.026129,0.076782,0.032962
2025-08-07 22:06:46,5,5,85,8.196522,0.220000,0.184945,0.256446,0.265118,0.393573,0.396486,0.212641,0.250860,0.203573,0.220000,0.503557,0.059945,0.032887,0.049505,0.023825
2025-08-07 22:08:51,5,6,86,6.043868,0.220000,0.250000,0.200000,0.300000,0.350000,0.388726,0.210000,0.232775,0.200000,0.220000,0.650000,0.040000,0.035000,0.080000,0.035000
2025-08-07 22:10:47,5,7,87,1.460449,0.220000,0.250000,0.280000,0.300000,0.350000,0.388726,0.210000,0.234197,0.200000,0.220000,0.638865,0.040000,0.035000,0.040000,0.035000
2025-08-07 22:12:47,5,8,88,1.485942,0.220000,0.250000,0.280000,0.300000,0.350000,0.392724,0.210000,0.241718,0.200000,0.220000,0.533976,0.040000,0.035000,0.040000,0.035000
2025-08-07 22:14:48,5,9,89,2.963280,0.220000,0.250000,0.200000,0.300000,0.350000,0.398386,0.216841,0.252281,0.200000,0.220000,0.650000,0.040000,0.035000,0.040000,0.035000
